StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,ID,vote2020,Q22,biden_approve_f_1,trump_approve_f_1,avg_f_1,optimism_f_1,unite_f_1,covid_f_1,attention_f,your_yard_f_1,neighbor_yard_f,Q23,biden_approve_nf_1,trump_approve_nf_1,avg_nf_1,optimism_nf_1,unite_nf_1,covid_nf_1,attention_nf,your_yard_nf_1,neighbor_yard_nf,Source Study
3/19/2021 10:39,3/19/2021 10:41,0,75.72.180.36,100,112,1,3/19/2021 10:41,R_TjSXqcKcW1aLdrH,,,,,45.01960754,-93.24019623,anonymous,EN,5ea497072b246644ea12dc12,1,It’s just a flag that represents the US,7,0,6,7,6,7,2021,4,2,,,,,,,,,,,1
3/19/2021 10:41,3/19/2021 10:42,0,198.85.236.234,100,51,1,3/19/2021 10:42,R_2sNmjRUFECaAImJ,,,,,34.228302,-77.95189667,anonymous,EN,5d548b387aff650016a18b79,1,,,,,,,,,,,eggs and pancakes,9,0,8,8,10,8,2021,4,3,1
3/19/2021 10:43,3/19/2021 10:43,0,69.154.226.85,100,40,1,3/19/2021 10:43,R_1eICA44R1ndanLS,,,,,33.1493988,-96.82800293,anonymous,EN,5f4da3e0de27c7a9386fbc40,1,America,7,2,6,6,7,8,2021,4,2,,,,,,,,,,,1
3/19/2021 10:42,3/19/2021 10:43,0,66.69.228.19,100,72,1,3/19/2021 10:43,R_Ze0qcQoXOK0xubn,,,,,30.17460632,-97.82029724,anonymous,EN,5d59d9884e2ab80001d1e126,1,,,,,,,,,,,My ideal breakfast is some scrambled eggs & bacon.,8,1,7,8,9,9,2021,7,2,1
3/19/2021 10:43,3/19/2021 10:44,0,65.78.101.129,100,59,1,3/19/2021 10:44,R_1H0EqDeijUjPIhK,,,,,40.58850098,-75.46420288,anonymous,EN,55c0ca6cfdf99b2e8efc9f4b,1,all 50 states are represented.,10,0,10,10,10,10,2021,5,3,,,,,,,,,,,1
3/19/2021 10:44,3/19/2021 10:45,0,68.8.184.122,100,59,1,3/19/2021 10:45,R_2tLIRtYERECO1hh,,,,,32.74049377,-117.0934982,anonymous,EN,5ed174832955ea0c743fead2,1,A symbol of our independence,8,0,6,6,8,10,2021,2,3,,,,,,,,,,,1
3/19/2021 10:43,3/19/2021 10:45,0,70.169.14.54,100,123,1,3/19/2021 10:45,R_XunbGiKAB8jl5n3,,,,,37.31970215,-76.76249695,anonymous,EN,5eca872c8473f05c071aee4d,1,,,,,,,,,,,Six slices of french toast and 3 strips of bacon,8,2,10,8,7,9,2021,8,2,1
3/19/2021 10:45,3/19/2021 10:47,0,75.90.162.113,100,73,1,3/19/2021 10:47,R_2a8H7DHLFhFSoZW,,,,,37.96429443,-84.47029877,anonymous,EN,5f4c8469ad5ee688eff8cb4b,1,,,,,,,,,,,"Not too heavy, I prefer to wait until lunch for bigger stuff.",6,2,6,6,8,9,2021,9,2,1
3/19/2021 10:46,3/19/2021 10:48,0,68.33.99.164,100,83,1,3/19/2021 10:48,R_1f9rlOsXZxhAwV2,,,,,39.42340088,-76.77619934,anonymous,EN,5a89c5100f1bce0001224361,1,,,,,,,,,,,Pancakes and bacon on the side.  ,7,0,7,5,5,7,2021,7,2,1
3/19/2021 10:46,3/19/2021 10:48,0,174.107.68.225,100,114,1,3/19/2021 10:48,R_3k6CH6VQjydDu1a,,,,,33.9631958,-80.93409729,anonymous,EN,5f8154be0e7254000973ddfa,1,"Freedom, Patriotism, Work hard get rewarded",7,2,8,7,7,8,2021,5,3,,,,,,,,,,,1
3/19/2021 10:48,3/19/2021 10:50,0,99.43.252.249,100,122,1,3/19/2021 10:50,R_A5mbGN0ZsVFHgHL,,,,,37.31770325,-122.0438004,anonymous,EN,5c3d34e0e0ea820001460b7b,1,,,,,,,,,,,"Eggs, toast, coffee",8,2,8,8,8,9,2022,6,3,1
3/19/2021 10:49,3/19/2021 10:51,0,68.118.248.143,100,119,1,3/19/2021 10:51,R_2xE7Ua8dDePcSvK,,,,,42.17630005,-72.57710266,anonymous,EN,5e2b31856d1e38180da77784,1,,,,,,,,,,,Coffee and toast or cereal with fruit and milk. ,7,0,6,7,8,10,2021,3,3,1
3/19/2021 10:51,3/19/2021 10:52,0,71.182.149.38,100,60,1,3/19/2021 10:52,R_A4dXQ36FMj2zsbL,,,,,40.50369263,-80.06829834,anonymous,EN,5d2f3becd8c144000187438c,1,,,,,,,,,,,yogurt with granola,7,0,6,5,10,9,2021,10,2,1
3/19/2021 10:51,3/19/2021 10:52,0,107.77.235.27,100,83,1,3/19/2021 10:52,R_w6OJz8TrOx3g0sp,,,,,33.80189514,-84.38610077,anonymous,EN,5ff76d52a4cb3f434e49eabe,1,Our country flag,8,2,8,6,6,8,2021,7,2,,,,,,,,,,,1
3/19/2021 10:48,3/19/2021 10:52,0,108.236.252.159,100,274,1,3/19/2021 10:52,R_Ret0HrDzzwxAhgt,,,,,31.77029419,-106.3005981,anonymous,EN,5a9cc3cb1eda4100013675d0,1,It makes me proud,10,0,10,10,10,10,2021,0,3,,,,,,,,,,,1
3/19/2021 10:52,3/19/2021 10:54,0,174.253.193.199,100,94,1,3/19/2021 10:54,R_1Ckbdvd7HxnqQBg,,,,,47.60319519,-122.3412018,anonymous,EN,5e2cc504032d282ef44a2c41,1,It is a symbol of our country.,9,0,9,9,10,10,2021,6,3,,,,,,,,,,,1
3/19/2021 10:53,3/19/2021 10:55,0,73.208.214.127,100,119,1,3/19/2021 10:55,R_1HpKELlqO13fNqA,,,,,39.67370605,-89.7161026,anonymous,EN,5f6eedb50b7ced449ec0132b,1,,,,,,,,,,,"Buffet style with fresh fruit, bacon, ham and eggs. A selection of cheese and fruit juices as well.",9,0,10,8,9,10,2021,7,3,1
3/19/2021 10:55,3/19/2021 10:56,0,66.31.45.197,100,58,1,3/19/2021 10:56,R_1jQllmVmOuHc5Us,,,,,42.36489868,-71.09870148,anonymous,EN,5e5572e0791e24052646b763,1,"American History, Symbolic",8,1,7,8,9,8,2021,8,2,,,,,,,,,,,1
3/19/2021 10:56,3/19/2021 10:57,0,104.136.65.34,100,53,1,3/19/2021 10:57,R_2WMWHCx3ACPJYQ2,,,,,28.30560303,-81.41970062,anonymous,EN,5efbe4f0c9f37c1a3b70afaf,1,,,,,,,,,,,boiled eggs,8,0,9,8,7,10,2021,8,2,1
3/19/2021 10:57,3/19/2021 10:59,0,108.5.189.36,100,86,1,3/19/2021 10:59,R_AmrBY1V0IvMNSsV,,,,,40.7118988,-74.22029877,anonymous,EN,5a3bf28afbc64300010a2530,1,,,,,,,,,,,Eggs with crumbled sausage,8,0,7,10,10,9,2021,4,3,1
3/19/2021 10:57,3/19/2021 11:00,0,24.90.252.31,100,158,1,3/19/2021 11:00,R_1r1zQmK4PQpmSOe,,,,,40.80000305,-73.9763031,anonymous,EN,5e76d38fa5043924633c1fbe,1,"defensiveness--not hatred, but false hope",7,0,6,6,7,7,2021,8,2,,,,,,,,,,,1
3/19/2021 11:00,3/19/2021 11:02,0,97.102.27.139,100,116,1,3/19/2021 11:02,R_3m2a7kvynOZAzqX,,,,,28.68409729,-81.28119659,anonymous,EN,5c471f433a307700017fc0dd,1,"The promise of equal, and fair opportunity for all people.",8,1,10,8,9,10,2021,8,2,,,,,,,,,,,1
3/19/2021 11:02,3/19/2021 11:02,0,96.253.63.90,100,45,1,3/19/2021 11:02,R_1CEzgq5eBGWl9YI,,,,,41.78160095,-71.38970184,anonymous,EN,5db7e95a0b850e000f5e0b6f,1,Nothing really,5,2,4,5,4,6,2021,10,2,,,,,,,,,,,1
3/19/2021 11:02,3/19/2021 11:03,0,23.242.76.157,100,64,1,3/19/2021 11:03,R_2UhMrS1nJ3rZMuf,,,,,34.02709961,-118.5035019,anonymous,EN,5fb587707056a60c70ccf3ee,1,,,,,,,,,,,pancakes,6,1,4,6,6,8,2021,8,2,1
3/19/2021 11:03,3/19/2021 11:05,0,71.234.160.136,100,69,1,3/19/2021 11:05,R_8iBp85QHmjulwNX,,,,,43.61709595,-72.96360016,anonymous,EN,5dd3f00ba9ead03cde542872,1,,,,,,,,,,,"French toast, eggs, home fries, coffee!!",8,0,9,8,9,9,2021,7,2,1
3/19/2021 11:04,3/19/2021 11:05,0,207.237.118.250,100,89,1,3/19/2021 11:05,R_OfhUmQRssr2r06l,,,,,40.78100586,-73.95010376,anonymous,EN,600c3e0f1567013409d3a1e4,1,Freedom,7,7,7,7,8,7,2021,4,3,,,,,,,,,,,1
3/19/2021 11:05,3/19/2021 11:06,0,75.162.140.168,100,64,1,3/19/2021 11:06,R_ai7iQbWZICxQHHH,,,,,41.5821991,-93.68019867,anonymous,EN,5ff7874cea58f6472e100fa7,1,,,,,,,,,,,BAGEL SANDWICH ,5,0,4,6,6,6,2021,10,2,1
3/19/2021 11:04,3/19/2021 11:07,0,98.215.241.177,100,179,1,3/19/2021 11:07,R_3MMrBE1AiqghR56,,,,,39.7696991,-89.68859863,anonymous,EN,5db9a46ff8e3f9000f88cb85,1,The symbol of our country.  Unity for all Americans.,8,0,10,8,9,10,2021,1,3,,,,,,,,,,,1
3/19/2021 11:06,3/19/2021 11:07,0,108.160.193.55,100,71,1,3/19/2021 11:07,R_3PWUxfi24JlvPBZ,,,,,41.8802948,-87.62409973,anonymous,EN,5c8a09d09b87bc00171c71a6,1,,,,,,,,,,,"Rice and a light protein like eggs, yogurt with fruit, and a coffee.",8,2,8,7,7,10,2021,2,3,1
3/19/2021 11:07,3/19/2021 11:09,0,208.92.107.253,100,97,1,3/19/2021 11:09,R_3I6SISBdXbQr5RG,,,,,36.62530518,-88.73940277,anonymous,EN,5e28556d0a328c022e11f058,1,,,,,,,,,,,I would like to have fresh waffles and hasbrowns but the sherreded kind with milk and orange juice with fresh fruit on the side,9,1,10,8,8,10,2021,0,3,1
3/19/2021 11:08,3/19/2021 11:09,0,24.112.120.121,100,78,1,3/19/2021 11:09,R_2frEUyrizjXVklG,,,,,36.29589844,-95.31199646,anonymous,EN,5ebc6d34046b2a0bc9f2b3b8,1,nothing at all,6,1,6,5,4,9,2021,4,2,,,,,,,,,,,1
3/19/2021 11:08,3/19/2021 11:10,0,74.136.73.92,100,71,1,3/19/2021 11:10,R_2r7Sb9S0a7ai0jD,,,,,38.00520325,-84.42299652,anonymous,EN,5d655537fcc9f50018965125,1,It's a representation of our large country and the original 13 colonies that once existed but are now 50 states,9,0,7,7,7,8,2021,7,2,,,,,,,,,,,1
3/19/2021 11:08,3/19/2021 11:10,0,173.188.49.12,100,88,1,3/19/2021 11:10,R_2flWyINt7cai92S,,,,,41.37219238,-82.10870361,anonymous,EN,57f2da5c6c19420001438d19,1,,,,,,,,,,,Yogurt and juice,9,1,10,8,9,10,2021,5,3,1
3/19/2021 11:08,3/19/2021 11:10,0,69.5.134.97,100,101,1,3/19/2021 11:10,R_332WIvTIt6QBZmx,,,,,42.05140686,-93.69080353,anonymous,EN,5fae10b5fb87ff03a9885887,1,it represents the idea of a united and free country,6,0,7,6,8,9,2021,7,2,,,,,,,,,,,1
3/19/2021 11:07,3/19/2021 11:11,0,166.181.81.11,100,230,1,3/19/2021 11:11,R_2urBl0pLhAGPRJg,,,,,41.60150146,-93.61270142,anonymous,EN,5f8c68e4fc66863c9a0150d5,1,"It used to represent a country I loved. Now it represents racism, violence, and intolerance. ",9,1,10,9,9,10,2021,8,2,,,,,,,,,,,1
3/19/2021 11:09,3/19/2021 11:11,0,73.239.93.159,100,96,1,3/19/2021 11:11,R_2Btwsn1FVjaIq8X,,,,,47.89480591,-122.2030945,anonymous,EN,5a78e410ae9a0b0001a97274,1,,,,,,,,,,,"macaroni and cheese with broccoli, i've not much of a normal breakfast food person",8,2,8,8,8,8,2021,0,3,1
3/19/2021 11:10,3/19/2021 11:13,0,146.244.164.91,100,148,1,3/19/2021 11:13,R_33wGF8HKCEtYdSN,,,,,32.76379395,-117.0699997,anonymous,EN,5d46927c85d859001a75c494,1,Freedom,6,0,7,8,7,8,2021,0,3,,,,,,,,,,,1
3/19/2021 11:12,3/19/2021 11:13,0,76.198.158.199,100,79,1,3/19/2021 11:13,R_3oYotA9J8m24Jtb,,,,,33.71530151,-84.33119965,anonymous,EN,5c1d9f0415a94b00018d7907,1,,,,,,,,,,,"I'm not a big fan of breakfast, so my ideal breakfast would be a cup of coffee and a bagel.",10,0,10,8,10,10,2021,5,3,1
3/19/2021 11:18,3/19/2021 11:20,0,70.88.125.170,100,85,1,3/19/2021 11:20,R_2dRzDt1Kl56x89D,,,,,42.27090454,-83.72679901,anonymous,EN,602b4d7efb5e6826b610a799,1,"unity, patriotism, collective",8,1,8,8,9,10,2021,9,2,,,,,,,,,,,1
3/19/2021 11:20,3/19/2021 11:21,0,98.215.94.59,100,66,1,3/19/2021 11:21,R_1jcyYXSqYmogIuf,,,,,40.46929932,-88.94239807,anonymous,EN,60451b9a142989603652c689,1,,,,,,,,,,,"Waffles, sometime around 1pm",9,0,7,7,6,7,2021,5,2,1
3/19/2021 11:20,3/19/2021 11:21,0,75.117.6.63,100,93,1,3/19/2021 11:21,R_2dEC37cAUtrX8tU,,,,,34.48590088,-85.3361969,anonymous,EN,5ac5374da3ba7a0001b4a75f,1,,,,,,,,,,,Steak and eggs,7,0,9,6,8,8,2021,9,2,1
3/19/2021 11:20,3/19/2021 11:21,0,184.60.30.144,100,54,1,3/19/2021 11:21,R_2zqMrjw0Nt3nhdJ,,,,,43.10299683,-89.50730133,anonymous,EN,5b68cd41263ecb0001343cb9,1,it's just a symbol,7,2,7,6,8,8,2021,6,2,,,,,,,,,,,1
3/19/2021 11:21,3/19/2021 11:22,0,97.81.169.207,100,41,1,3/19/2021 11:22,R_1jZXPGkMAixDKWh,,,,,36.21780396,-85.54229736,anonymous,EN,5f4c6bee4aac5777aa9fc9cf,1,,,,,,,,,,,Oatmeal and matcha,8,1,9,9,10,8,2021,5,2,1
3/19/2021 11:21,3/19/2021 11:23,0,107.2.110.89,100,136,1,3/19/2021 11:23,R_30oCRSbAyTkVrVP,,,,,45.01229858,-93.34470367,anonymous,EN,6047c67513b4090721fd4dd3,1,"It used to be a symbol of unity and strength, but now I feel US values have corrupted it into a symbol of superiority over anyone different from the white mainstream society.",7,1,9,7,9,9,2021,6,2,,,,,,,,,,,1
3/19/2021 11:22,3/19/2021 11:24,0,71.207.32.87,100,62,1,3/19/2021 11:24,R_1MLImdjJ6H4a79D,,,,,40.17880249,-77.00469971,anonymous,EN,5e74c29fd5af7801167c41a6,1,Over done patriotism,8,0,8,7,7,9,2021,8,2,,,,,,,,,,,1
3/19/2021 11:21,3/19/2021 11:24,0,136.34.193.164,100,147,1,3/19/2021 11:24,R_eqFjTcTIH2BVAAx,,,,,38.959198,-94.59609985,anonymous,EN,5d40d1ba12426c00157d3c7e,1,,,,,,,,,,,Pancakes with syrup and fresh fruit,6,0,7,5,6,7,2021,5,2,1
3/19/2021 11:23,3/19/2021 11:24,0,75.82.109.60,100,82,1,3/19/2021 11:24,R_3n90wm36UbJIWbt,,,,,34.14129639,-118.6598969,anonymous,EN,590fca686d77630001d3a47d,1,It's just a flag that represents the US. I assign no special meaning to it. ,7,0,9,8,7,10,2021,3,2,,,,,,,,,,,1
3/19/2021 11:23,3/19/2021 11:25,0,24.91.164.216,100,105,1,3/19/2021 11:25,R_PvbE7s2851AqhaN,,,,,41.85009766,-72.46489716,anonymous,EN,5ee10f445c27ee4ac61a579f,1,,,,,,,,,,,"French toast with strawberries, whipped cream, chocolate chips, syrup, and plant based sausage",7,1,8,7,7,7,2021,10,2,1
3/19/2021 11:24,3/19/2021 11:26,0,75.58.0.225,100,119,1,3/19/2021 11:26,R_cDgicxia5Rp5ywx,,,,,33.99159241,-83.89009857,anonymous,EN,5e39a96d3b3e431ca5a9c6e0,1,,,,,,,,,,,Scrambled eggs with cheese and salsa with toast,10,0,10,10,10,10,2021,0,3,1
3/19/2021 11:24,3/19/2021 11:26,0,172.125.236.129,100,74,1,3/19/2021 11:26,R_1HoTWTZK7Vj9GtK,,,,,32.96359253,-96.74680328,anonymous,EN,5c3156e88c6d820001abf5c6,1,"hope, pride, independence, freedom",7,3,7,8,7,8,2021,5,3,,,,,,,,,,,1
3/19/2021 11:24,3/19/2021 11:26,0,73.250.116.100,100,94,1,3/19/2021 11:26,R_2f7GNQ99OcO4AQn,,,,,39.10479736,-76.74780273,anonymous,EN,601978b272f5e808b394198d,1,symbol of the country,9,0,9,8,9,9,2021,7,2,,,,,,,,,,,1
3/19/2021 11:25,3/19/2021 11:27,0,136.36.103.59,100,113,1,3/19/2021 11:27,R_32XjcfSxOFJ9CEo,,,,,40.2328949,-111.6688004,anonymous,EN,5f430c46a5518f171572f8d1,1,,,,,,,,,,,Coffee and a bagel with either honey or jam on it,8,0,7,7,5,9,2021,10,2,1
3/19/2021 11:28,3/19/2021 11:30,0,24.252.252.128,100,78,1,3/19/2021 11:30,R_24elRHgoHZRg0u7,,,,,41.37469482,-81.91320038,anonymous,EN,5ff0726b23b19b403bca39da,1,,,,,,,,,,,eggs and hash browns,9,0,8,9,10,10,2021,5,3,1
3/19/2021 11:28,3/19/2021 11:30,0,73.72.77.143,100,87,1,3/19/2021 11:30,R_BLNOUWy1bZEClSp,,,,,41.82020569,-86.24040222,anonymous,EN,5acb82c4e734400001da7c0d,1,"It represents the country and that's about it, in my view.",7,0,6,7,10,7,2021,10,2,,,,,,,,,,,1
3/19/2021 11:29,3/19/2021 11:31,0,70.181.212.127,100,122,1,3/19/2021 11:31,R_2do9EiqroxGQs4x,,,,,32.65390015,-116.9772949,anonymous,EN,5c313f27867f660001b0601c,1,,,,,,,,,,,scrambled eggs and soy bacon and coffee.,10,0,10,10,10,10,2021,1,3,1
3/19/2021 11:29,3/19/2021 11:32,0,70.129.181.114,100,182,1,3/19/2021 11:32,R_2tlNqsaropL7pdK,,,,,32.85450745,-97.1359024,anonymous,EN,5f7505fcdf8706171b91857e,1,a dedication to all the lies the government is willing to uphold to continue to hold the wealth for the 1%.,7,1,7,8,8,7,2021,1,2,,,,,,,,,,,1
3/19/2021 11:31,3/19/2021 11:32,0,68.107.235.230,100,102,1,3/19/2021 11:32,R_24kJUb1ArRlivGm,,,,,41.29750061,-96.09929657,anonymous,EN,5e5b48b9576f69347e4fcc88,1,"Freedom, Honor, Service",7,2,6,7,7,9,2021,2,3,,,,,,,,,,,1
3/19/2021 11:31,3/19/2021 11:32,0,165.155.128.142,100,54,1,3/19/2021 11:32,R_1r7JC2ZwKrhqJkl,,,,,40.66270447,-73.9138031,anonymous,EN,6023d6c2657c850454e5a276,1,,,,,,,,,,,"Toast and eggs, over medium",9,1,8,9,9,10,2021,9,2,1
3/19/2021 11:31,3/19/2021 11:33,0,107.13.246.177,100,76,1,3/19/2021 11:33,R_D1Tg2VnEcNzLXc5,,,,,35.80250549,-78.64050293,anonymous,EN,5d48652e983b1e0019576359,1,,,,,,,,,,,Avocado toast with basil and sesame seeds,8,0,9,7,9,10,2021,10,2,1
3/19/2021 11:31,3/19/2021 11:33,0,172.221.204.17,100,83,1,3/19/2021 11:33,R_Q4ejEKVJ6DbpfSp,,,,,38.76300049,-90.54740143,anonymous,EN,5f82b2eb7caf8a3ced8affa2,1,A flag of a country,7,2,8,6,7,9,2021,2,3,,,,,,,,,,,1
3/19/2021 11:31,3/19/2021 11:33,0,75.139.40.79,100,109,1,3/19/2021 11:33,R_3oz8ouLjz7zTbhx,,,,,33.17520142,-86.27130127,anonymous,EN,5c227a64da51990001e1e0a2,1,,,,,,,,,,,"Some full with variety of food groups. Eggs, bacon, toast, avocado ",7,1,6,7,5,8,2021,9,2,1
3/19/2021 11:32,3/19/2021 11:33,0,173.70.55.252,100,78,1,3/19/2021 11:33,R_3CDxpFMGaYAqGYE,,,,,40.79299927,-74.02469635,anonymous,EN,5f527d381b73b45422c50abf,1,"America, United, 50 States, Patriotism, Jingoism",8,0,8,6,8,9,2021,5,3,,,,,,,,,,,1
3/19/2021 11:35,3/19/2021 11:36,0,50.225.254.201,100,92,1,3/19/2021 11:36,R_1LwCw85HKnctQdb,,,,,41.86399841,-88.06710052,anonymous,EN,5f8b90a4b237f91824a88aeb,1,,,,,,,,,,,"My ideal breakfast, and what I eat every morning, is whole grain toast topped with chunky peanut butter and cinnamon.",9,0,10,10,10,10,2021,8,2,1
3/19/2021 11:36,3/19/2021 11:37,0,99.174.246.25,100,66,1,3/19/2021 11:37,R_3CDV2mQVrr82itW,,,,,32.63870239,-117.080101,anonymous,EN,5bf9afb9bef3a6000190644e,1,A symbol of Democracy,7,1,8,9,7,8,2021,7,2,,,,,,,,,,,1
3/19/2021 11:35,3/19/2021 11:37,0,216.114.178.235,100,84,1,3/19/2021 11:37,R_1F49MhqAMaVzShd,,,,,42.88119507,-72.86129761,anonymous,EN,5e331023a48efa04edd6112d,1,,,,,,,,,,,Bacon egg and cheese on a hard roll with peppers and onions,7,1,4,4,5,10,2021,0,3,1
3/19/2021 11:35,3/19/2021 11:37,0,216.230.36.225,100,128,1,3/19/2021 11:37,R_1CgC7h9MRKhbkuk,,,,,28.30360413,-81.5911026,anonymous,EN,601602860be39376a6716185,1,A symbol of our 50 states unified as one,8,2,7,9,6,8,2021,4,2,,,,,,,,,,,1
3/19/2021 11:36,3/19/2021 11:38,0,172.56.13.162,100,93,1,3/19/2021 11:38,R_CfgwIdx3OB1Eww1,,,,,39.77639771,-86.10769653,anonymous,EN,5a94362e873cda0001dc66c9,1,,,,,,,,,,,Gluten free banana pancakes and side of bacon,7,0,6,6,6,8,2021,3,2,1
3/19/2021 11:37,3/19/2021 11:39,0,104.54.210.76,100,120,1,3/19/2021 11:39,R_3OVfvHE3DDcrtYJ,,,,,30.5874939,-97.85350037,anonymous,EN,5f27835438b9f85a6b9ebdb4,1,"It is a symbol of the United States of America, and represents the country and the values of the person who sees it.",7,0,8,8,7,7,2021,5,2,,,,,,,,,,,1
3/19/2021 11:37,3/19/2021 11:39,0,137.110.38.156,100,125,1,3/19/2021 11:39,R_2sclQuPCHXgAjBc,,,,,32.80029297,-117.2438049,anonymous,EN,5e666e4fc34e833dea58fe65,1,,,,,,,,,,,egg muffin,9,1,8,9,6,9,2021,4,2,1
